image,name,description,labelprice,price
../images/images-women/1.png,AFNAN,Faten White EDP Spray 3.4 oz Fragrances,Precio:,12
../images/images-women/2.png,AFNAN,Ladies Supremacy EDP 3.4 oz Fragrances,Precio:,12
../images/images-women/3.png,ARMAF,Ladies Club De Nuit EDP Spray 3.6 oz (105 ml),Precio:,12
../images/images-women/4.png,ARMAF,Ladies Club De Nuit Intense EDP Spray 3.6 oz Fragrances,Precio:,12
../images/images-women/5.png,ARMAF,Ladies Club De Nuit White Imperiale EDP Spray 3.6 oz (100 ml),Precio:,12
../images/images-women/6.png,ARMAF,Ladies Odyssey Candee EDP Spray 3.4 oz Fragrances,Precio:,12
../images/images-women/7.png,ARMAF,Ladies Tag Her Pour Femme EDP Spray 3.4 oz Fragrances,Precio:,12
../images/images-women/8.png,BHARARA,Ladies Champagne Pink EDP Spray 4.2 oz Fragrances,Precio:,12
../images/images-women/9.png,LATTAFA,Ladies Mayar EDP 3.4 oz Fragrances,Precio:,12
../images/images-women/10.png,LATTAFA,Ladies Sondos EDP Spray 3.4 oz Fragrances,Precio:,12
../images/images-women/11.png,MAISON ALHAMBRA,Ladies Alive Now EDP Spray 3.4 oz Fragrances,Precio:,12
../images/images-women/12.png,MAISON ALHAMBRA,Ladies L Intrude EDP Spray 3.4 oz Fragrances,Precio:,12
